"Date Time","Open","High","Low","Close","Change"
2017-10-24,1053.02,1058.43,1052.07,1056.78,0
2017-10-25,1056.78,1059.13,1045.48,1053.21,-3.5699999999999363
2017-10-26,1053.21,1061.8,1053.21,1056.84,3.6299999999998818
2017-10-27,1077.01,1090.72,1056.84,1087.6,30.75999999999999
2017-10-30,1087.6,1094.77,1085.98,1092,4.400000000000091
2017-10-31,1092,1098.67,1091.15,1096.28,4.279999999999973
2017-11-01,1096.28,1101.87,1091.11,1097.08,0.7999999999999545
2017-11-02,1097.08,1099.14,1089.17,1098.29,1.2100000000000364
2017-11-03,1098.29,1108.73,1097.7,1107.65,9.360000000000127
2017-11-06,1107.65,1112.32,1107.65,1111.49,3.839999999999918
2017-11-07,1111.49,1113.72,1107.83,1112.74,1.25
2017-11-08,1112.74,1118.55,1109.16,1118.2,5.460000000000036
2017-11-09,1118.2,1118.2,1096.85,1108.69,-9.509999999999991
2017-11-10,1108.69,1108.69,1103.2,1107.67,-1.0199999999999818
2017-11-13,1107.67,1108.46,1102.93,1107.52,-0.15000000000009095
2017-11-14,1107.52,1107.52,1099.24,1105.7,-1.8199999999999363
2017-11-15,1105.7,1105.7,1093.24,1096.33,-9.370000000000118
2017-11-16,1096.33,1113.74,1096.33,1110.89,14.560000000000173
2017-11-17,1110.89,1110.89,1102.25,1103.47,-7.420000000000073
2017-11-20,1103.47,1107.94,1103.47,1106.54,3.0699999999999363
2017-11-21,1106.54,1120.03,1106.54,1119.76,13.220000000000027
2017-11-22,1119.76,1119.76,1115.24,1116.88,-2.8799999999998818
2017-11-24,1116.88,1123.66,1116.88,1122.93,6.0499999999999545
2017-11-27,1122.93,1124.44,1118.84,1122.81,-0.12000000000011823
2017-11-28,1122.81,1127.23,1118.99,1124.85,2.0399999999999636
2017-11-29,1124.85,1124.85,1087.95,1096.05,-28.799999999999955
2017-11-30,1096.05,1108.49,1096.05,1106.52,10.470000000000027
2017-12-01,1106.52,1106.52,1083.98,1100.23,-6.289999999999964
2017-12-04,1100.23,1106.33,1078.14,1078.97,-21.25999999999999
2017-12-05,1078.97,1093.97,1072.35,1081.2,2.230000000000018
2017-12-06,1081.2,1091.6,1080.8,1089.34,8.139999999999873
2017-12-07,1089.34,1098.5,1089.34,1096.41,7.070000000000164
2017-12-08,1096.41,1107.7,1096.41,1101.07,4.6599999999998545
2017-12-11,1101.07,1110.62,1100.96,1110.03,8.960000000000036
